Date,Ticker,Risk Group,Frequency,Predicted,Actual
2024-10-26 05:00:00+00:00,ETH-USD,Low,hourly,-11.773790727836149,-10.767611638993252
2024-10-26 06:00:00+00:00,ETH-USD,Low,hourly,-11.669762035931557,-13.925414938320069
2024-10-26 07:00:00+00:00,ETH-USD,Low,hourly,-11.495015954896846,-11.68086027496454
2024-10-26 08:00:00+00:00,ETH-USD,Low,hourly,-11.447639764815861,-12.259740993731468
2024-10-26 09:00:00+00:00,ETH-USD,Low,hourly,-11.557926281894128,-12.10514890492298
2024-10-26 10:00:00+00:00,ETH-USD,Low,hourly,-11.997672498348228,-13.325276847814717
2024-10-26 11:00:00+00:00,ETH-USD,Low,hourly,-12.001458079272064,-13.08135088048268
2024-10-26 12:00:00+00:00,ETH-USD,Low,hourly,-11.982946187643325,-15.647883580821446
2024-10-26 13:00:00+00:00,ETH-USD,Low,hourly,-11.965783177642248,-12.164025227757149
2024-10-26 14:00:00+00:00,ETH-USD,Low,hourly,-12.424510609355915,-9.39439744898864
2024-10-26 15:00:00+00:00,ETH-USD,Low,hourly,-12.237753986271285,-10.616176822595971
2024-10-26 16:00:00+00:00,ETH-USD,Low,hourly,-12.111618659013487,-10.26663948505296
2024-10-26 17:00:00+00:00,ETH-USD,Low,hourly,-11.66113851091567,-11.5277978104079
2024-10-26 18:00:00+00:00,ETH-USD,Low,hourly,-11.817803847833149,-13.456291934355894
2024-10-26 19:00:00+00:00,ETH-USD,Low,hourly,-11.90661712097224,-12.496890009469723
2024-10-26 20:00:00+00:00,ETH-USD,Low,hourly,-12.260421286784455,-12.739120848883935
2024-10-26 21:00:00+00:00,ETH-USD,Low,hourly,-11.847805199611427,-16.205035196976002
2024-10-26 22:00:00+00:00,ETH-USD,Low,hourly,-11.861768646130672,-13.78897576155585
2024-10-26 23:00:00+00:00,ETH-USD,Low,hourly,-12.238252399668818,-12.79839739381654
2024-10-27 00:00:00+00:00,ETH-USD,Low,hourly,-12.631885251246983,-11.94203369751556
2024-10-27 01:00:00+00:00,ETH-USD,Low,hourly,-12.92801977388051,-15.00068012849573
2024-10-27 02:00:00+00:00,ETH-USD,Low,hourly,-12.770756553710756,-12.435865716473154
