Date,Ticker,Frequency,Predicted
2023-06-14 00:00:00+00:00,BTC-USD,3hourly,-11.269465778188064
2023-06-15 00:00:00+00:00,BTC-USD,3hourly,-10.96367135333959
2023-06-16 00:00:00+00:00,BTC-USD,3hourly,-9.94726765675128
2023-06-17 00:00:00+00:00,BTC-USD,3hourly,-10.780074964455707
2023-06-18 00:00:00+00:00,BTC-USD,3hourly,-10.549454232671597
2023-06-19 00:00:00+00:00,BTC-USD,3hourly,-10.975734494495045
2023-06-20 00:00:00+00:00,BTC-USD,3hourly,-11.230624124199036
2023-06-21 00:00:00+00:00,BTC-USD,3hourly,-11.10204300065851
2023-06-22 00:00:00+00:00,BTC-USD,3hourly,-10.353800857557243
2023-06-23 00:00:00+00:00,BTC-USD,3hourly,-10.20791032691977
2023-06-24 00:00:00+00:00,BTC-USD,3hourly,-10.350733954066682
2023-06-25 00:00:00+00:00,BTC-USD,3hourly,-9.976860658660478
2023-06-26 00:00:00+00:00,BTC-USD,3hourly,-11.278485032278383
2023-06-27 00:00:00+00:00,BTC-USD,3hourly,-11.073561646257314
2023-06-28 00:00:00+00:00,BTC-USD,3hourly,-10.692884659473375
2023-06-29 00:00:00+00:00,BTC-USD,3hourly,-10.559668793533326
2023-06-30 00:00:00+00:00,BTC-USD,3hourly,-11.041693425689417
2023-07-01 00:00:00+00:00,BTC-USD,3hourly,-11.301703476710735
2023-07-02 00:00:00+00:00,BTC-USD,3hourly,-10.415556127736071
2023-07-03 00:00:00+00:00,BTC-USD,3hourly,-12.287297761185911
2023-07-04 00:00:00+00:00,BTC-USD,3hourly,-11.341425931834962
2023-07-05 00:00:00+00:00,BTC-USD,3hourly,-10.940000537578412
2023-07-06 00:00:00+00:00,BTC-USD,3hourly,-11.431331604545143
2023-07-07 00:00:00+00:00,BTC-USD,3hourly,-11.286485536639429
2023-07-08 00:00:00+00:00,BTC-USD,3hourly,-10.19058759822541
2023-07-09 00:00:00+00:00,BTC-USD,3hourly,-11.502501698792559
2023-07-10 00:00:00+00:00,BTC-USD,3hourly,-11.706551376769966
2023-07-11 00:00:00+00:00,BTC-USD,3hourly,-11.988860251889582
2023-07-12 00:00:00+00:00,BTC-USD,3hourly,-10.309996658485373
2023-07-13 00:00:00+00:00,BTC-USD,3hourly,-11.509728001938125
2023-07-14 00:00:00+00:00,BTC-USD,3hourly,-11.388410078347775
2023-07-15 00:00:00+00:00,BTC-USD,3hourly,-10.577492107416365
2023-07-16 00:00:00+00:00,BTC-USD,3hourly,-10.685595707712732
2023-07-17 00:00:00+00:00,BTC-USD,3hourly,-12.493683677867775
2023-07-18 00:00:00+00:00,BTC-USD,3hourly,-11.59048524524799
2023-07-19 00:00:00+00:00,BTC-USD,3hourly,-10.648507677498248
2023-07-20 00:00:00+00:00,BTC-USD,3hourly,-11.344963885142757
2023-07-21 00:00:00+00:00,BTC-USD,3hourly,-11.255602722128613
2023-07-22 00:00:00+00:00,BTC-USD,3hourly,-10.84549487735443
2023-07-23 00:00:00+00:00,BTC-USD,3hourly,-11.956231101570058
2023-07-24 00:00:00+00:00,BTC-USD,3hourly,-12.259955696109955
2023-07-25 00:00:00+00:00,BTC-USD,3hourly,-11.088694017033927
2023-07-26 00:00:00+00:00,BTC-USD,3hourly,-11.301618465318008
2023-07-27 00:00:00+00:00,BTC-USD,3hourly,-12.010562029399807
2023-07-28 00:00:00+00:00,BTC-USD,3hourly,-11.144221674014034
2023-07-29 00:00:00+00:00,BTC-USD,3hourly,-11.834885986747857
2023-07-30 00:00:00+00:00,BTC-USD,3hourly,-11.836535415651685
2023-07-31 00:00:00+00:00,BTC-USD,3hourly,-13.32471648770118
2023-08-01 00:00:00+00:00,BTC-USD,3hourly,-11.464484512502306
2023-08-02 00:00:00+00:00,BTC-USD,3hourly,-12.01700706966644
2023-08-03 00:00:00+00:00,BTC-USD,3hourly,-10.572361160493664
2023-08-04 00:00:00+00:00,BTC-USD,3hourly,-11.467528287998913
2023-08-05 00:00:00+00:00,BTC-USD,3hourly,-11.53943793452586
2023-08-06 00:00:00+00:00,BTC-USD,3hourly,-11.636509630746891
2023-08-07 00:00:00+00:00,BTC-USD,3hourly,-12.435150158877592
2023-08-08 00:00:00+00:00,BTC-USD,3hourly,-12.325478373543445
2023-08-09 00:00:00+00:00,BTC-USD,3hourly,-11.872056872166194
2023-08-10 00:00:00+00:00,BTC-USD,3hourly,-11.16780896889415
2023-08-11 00:00:00+00:00,BTC-USD,3hourly,-11.411124647806169
2023-08-12 00:00:00+00:00,BTC-USD,3hourly,-12.187944885153877
2023-08-13 00:00:00+00:00,BTC-USD,3hourly,-12.35512834207234
2023-08-14 00:00:00+00:00,BTC-USD,3hourly,-13.120724657962471
2023-08-15 00:00:00+00:00,BTC-USD,3hourly,-12.40600518020265
2023-08-16 00:00:00+00:00,BTC-USD,3hourly,-11.831268716738926
2023-08-17 00:00:00+00:00,BTC-USD,3hourly,-12.121400061285478
2023-08-18 00:00:00+00:00,BTC-USD,3hourly,-11.549193017633119
2023-08-19 00:00:00+00:00,BTC-USD,3hourly,-9.070497611569303
2023-08-20 00:00:00+00:00,BTC-USD,3hourly,-10.846442848358961
2023-08-21 00:00:00+00:00,BTC-USD,3hourly,-11.15729703338699
2023-08-22 00:00:00+00:00,BTC-USD,3hourly,-11.264363011657865
2023-08-23 00:00:00+00:00,BTC-USD,3hourly,-10.957439358524711
2023-08-24 00:00:00+00:00,BTC-USD,3hourly,-10.217527747800446
2023-08-25 00:00:00+00:00,BTC-USD,3hourly,-10.14640375036589
2023-08-26 00:00:00+00:00,BTC-USD,3hourly,-10.975572657605326
2023-08-27 00:00:00+00:00,BTC-USD,3hourly,-11.571908594504553
2023-08-28 00:00:00+00:00,BTC-USD,3hourly,-12.690626042131111
2023-08-29 00:00:00+00:00,BTC-USD,3hourly,-12.10699368305626
2023-08-30 00:00:00+00:00,BTC-USD,3hourly,-11.413625382634248
2023-08-31 00:00:00+00:00,BTC-USD,3hourly,-9.90700530126315
2023-09-01 00:00:00+00:00,BTC-USD,3hourly,-11.042380247021779
2023-09-02 00:00:00+00:00,BTC-USD,3hourly,-10.287350019063865
2023-09-03 00:00:00+00:00,BTC-USD,3hourly,-10.685894621932272
2023-09-04 00:00:00+00:00,BTC-USD,3hourly,-12.184703320817214
2023-09-05 00:00:00+00:00,BTC-USD,3hourly,-11.300609897582442
2023-09-06 00:00:00+00:00,BTC-USD,3hourly,-10.808086127601793
2023-09-07 00:00:00+00:00,BTC-USD,3hourly,-11.838615974909004
2023-09-08 00:00:00+00:00,BTC-USD,3hourly,-11.163568858926837
2023-09-09 00:00:00+00:00,BTC-USD,3hourly,-10.969997045760671
2023-09-10 00:00:00+00:00,BTC-USD,3hourly,-12.029694912522583
2023-09-11 00:00:00+00:00,BTC-USD,3hourly,-12.539324917025636
2023-09-12 00:00:00+00:00,BTC-USD,3hourly,-11.934678659052862
2023-09-13 00:00:00+00:00,BTC-USD,3hourly,-11.105725975822272
2023-09-14 00:00:00+00:00,BTC-USD,3hourly,-10.33626119553011
2023-09-15 00:00:00+00:00,BTC-USD,3hourly,-11.368660600429143
2023-09-16 00:00:00+00:00,BTC-USD,3hourly,-10.648817286161002
2023-09-17 00:00:00+00:00,BTC-USD,3hourly,-10.575343382196039
2023-09-18 00:00:00+00:00,BTC-USD,3hourly,-11.794434473385028
2023-09-19 00:00:00+00:00,BTC-USD,3hourly,-11.660066400818216
2023-09-20 00:00:00+00:00,BTC-USD,3hourly,-10.486082503412213
2023-09-21 00:00:00+00:00,BTC-USD,3hourly,-10.99540075410083
2023-09-22 00:00:00+00:00,BTC-USD,3hourly,-11.033907817998948
2023-09-23 00:00:00+00:00,BTC-USD,3hourly,-11.531648026806158
2023-09-24 00:00:00+00:00,BTC-USD,3hourly,-11.837649525651962
2023-09-25 00:00:00+00:00,BTC-USD,3hourly,-12.782534730380586
2023-09-26 00:00:00+00:00,BTC-USD,3hourly,-10.95370977636405
2023-09-27 00:00:00+00:00,BTC-USD,3hourly,-11.831629905327677
2023-09-28 00:00:00+00:00,BTC-USD,3hourly,-11.824689952446803
2023-09-29 00:00:00+00:00,BTC-USD,3hourly,-11.129990917561717
2023-09-30 00:00:00+00:00,BTC-USD,3hourly,-11.201249816134904
2023-10-01 00:00:00+00:00,BTC-USD,3hourly,-11.665224697659024
2023-10-02 00:00:00+00:00,BTC-USD,3hourly,-11.961414881700906
2023-10-03 00:00:00+00:00,BTC-USD,3hourly,-9.963289380469371
2023-10-04 00:00:00+00:00,BTC-USD,3hourly,-10.213480831768221
2023-10-05 00:00:00+00:00,BTC-USD,3hourly,-11.06509945784672
2023-10-06 00:00:00+00:00,BTC-USD,3hourly,-11.297763221672572
2023-10-07 00:00:00+00:00,BTC-USD,3hourly,-11.071604667712283
2023-10-08 00:00:00+00:00,BTC-USD,3hourly,-10.600981089698028
2023-10-09 00:00:00+00:00,BTC-USD,3hourly,-12.025999859895364
2023-10-10 00:00:00+00:00,BTC-USD,3hourly,-11.826080779268027
2023-10-11 00:00:00+00:00,BTC-USD,3hourly,-11.340171301321565
2023-10-12 00:00:00+00:00,BTC-USD,3hourly,-11.585818709990905
2023-10-13 00:00:00+00:00,BTC-USD,3hourly,-10.866880132076307
2023-10-14 00:00:00+00:00,BTC-USD,3hourly,-11.958787773677066
2023-10-15 00:00:00+00:00,BTC-USD,3hourly,-11.046287716830541
2023-10-16 00:00:00+00:00,BTC-USD,3hourly,-12.433401152821386
2023-10-17 00:00:00+00:00,BTC-USD,3hourly,-11.723057949405074
2023-10-18 00:00:00+00:00,BTC-USD,3hourly,-10.598844992720009
2023-10-19 00:00:00+00:00,BTC-USD,3hourly,-11.037074335098925
2023-10-20 00:00:00+00:00,BTC-USD,3hourly,-11.268137103722552
2023-10-21 00:00:00+00:00,BTC-USD,3hourly,-11.208921563269172
2023-10-22 00:00:00+00:00,BTC-USD,3hourly,-10.824848097455064
2023-10-23 00:00:00+00:00,BTC-USD,3hourly,-10.97683000682362
2023-10-24 00:00:00+00:00,BTC-USD,3hourly,-10.675955189843663
2023-10-25 00:00:00+00:00,BTC-USD,3hourly,-9.09022025003095
2023-10-26 00:00:00+00:00,BTC-USD,3hourly,-9.52464373633656
2023-10-27 00:00:00+00:00,BTC-USD,3hourly,-10.308175002267095
2023-10-28 00:00:00+00:00,BTC-USD,3hourly,-10.455097910159207
