time,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",volume,IPNMAT,UEMPMEAN,USCONS,BUSLOANS,AAAFFM
2020-03-21,-12.034127186978528,-11.710023028086855,-11.709780681951354,5.938065286556025e-06,8.211105193032775e-06,8.213095363789852e-06,113652.88942875,97.6755,17.0,7546,2561.6615,2.39
2020-03-22,-12.383158216394506,-11.726539882261887,-11.697642534526798,4.188540490249465e-06,8.076597446231353e-06,8.313394618236286e-06,119174.27938713,97.6755,17.0,7546,2561.6615,2.39
2020-03-23,-12.00491666602044,-11.949016954587728,-11.677017248849534,6.114077455547944e-06,6.465585698331514e-06,8.486641246198207e-06,168085.00932368,97.6755,17.0,7546,2561.6615,2.39
2020-03-24,-12.566955757906218,-12.004386495226948,-11.666142016145708,3.485302357237246e-06,6.11731982027161e-06,8.579439129307145e-06,110629.90352328,97.6755,17.0,7546,2561.6615,2.39
2020-03-25,-12.852734236627985,-12.041846433643672,-11.66172276098838,2.6189574568138056e-06,5.892404356617999e-06,8.617437760908488e-06,81007.94995274,97.6755,17.0,7546,2561.6615,2.39
2020-03-26,-13.447262138722817,-12.157996053792102,-11.664317166140416,1.4452010101230531e-06,5.246255081029727e-06,8.595109612639777e-06,50576.15800278,97.6755,17.0,7546,2561.6615,2.39
2020-03-27,-13.24490184736317,-12.520412116892404,-11.671157133410704,1.7693437419967593e-06,3.651355399789185e-06,8.53651994832496e-06,85803.04227309,97.6755,17.0,7546,2561.6615,2.39
2020-03-28,-12.960934524910838,-12.671660885025656,-11.677287646184604,2.350377686856064e-06,3.138828599832048e-06,8.48434679124277e-06,101921.98684595,97.6755,17.0,7546,2561.6615,2.39
2020-03-29,-13.56947457355297,-12.8137131122656,-11.682950970316073,1.2789455948180282e-06,2.723172186198985e-06,8.436432989078692e-06,82244.53840483,97.6755,17.0,7546,2561.6615,2.39
2020-03-30,-13.404642662869488,-13.090293586065378,-11.682252032776784,1.508126112540645e-06,2.065179137197943e-06,8.4423315899291e-06,85183.93835145001,97.6755,17.0,7546,2561.6615,2.39
2020-03-31,-13.683993043265604,-13.267264509227171,-11.6865985741056,1.1405578840750844e-06,1.73021564103192e-06,8.40571627938814e-06,32873.39844651,97.6755,17.0,7546,2561.6615,2.39
2020-05-01,-13.55925272094818,-13.555704382292308,-13.34413782012189,1.292085832550111e-06,1.296678734423096e-06,1.6021920740059078e-06,86676.70389865,89.2072,10.5,7010,3033.757,2.45
2020-05-02,-14.458916832644093,-13.615547548505756,-13.391081803410628,5.254993767496514e-07,1.2213575786463909e-06,1.5287168976228577e-06,42700.84317487,89.2072,10.5,7010,3033.757,2.45
2020-05-03,-13.717971767848336,-13.56882579007064,-13.402418917022953,1.1024542050603518e-06,1.2797756228198613e-06,1.511483533361211e-06,100696.14736485,89.2072,10.5,7010,3033.757,2.45
2020-05-04,-13.34472576211885,-13.484380534809317,-13.4000990822885,1.601250354863646e-06,1.3925408430913697e-06,1.514993995634281e-06,130047.13492393,89.2072,10.5,7010,3033.757,2.45
