Ticker,Date,Open,High,Low,Close,Volume,daily_rv,ln_daily_rv,daily_return,ln_daily_return,ln_daily_rv_lag1,ln_daily_rv_lag2,ln_daily_rv_lag3,weekly_rv,ln_weekly_rv,ln_weekly_rv_lag1,monthly_rv,ln_monthly_rv,ln_monthly_rv_lag1,Risk
SOL-USD,2024-06-01 00:00:00+00:00,166.69520568847656,166.72947692871094,165.70556640625,166.0248260498047,0.0,0.00010112178761721469,-9.199184949545415,0.0020134011865096113,0.0020113770108704052,-7.4968630878818345,-6.840082898143396,-6.739528152747436,0.0008567452246170377,-7.062369971059887,-6.993903268618469,0.0014933533670302374,-6.506731105891305,-6.437475820471528,High Risk
SOL-USD,2024-06-02 00:00:00+00:00,163.10794067382812,163.51797485351562,163.10794067382812,163.2755889892578,0.0,0.0004429392537337923,-7.722077922076016,-0.016559192537398904,-0.016697828564044705,-9.199184949545415,-7.4968630878818345,-6.840082898143396,0.0008258128345293104,-7.099142402698801,-7.062369971059887,0.001436535455342182,-6.545520998093736,-6.506731105891305,High Risk
SOL-USD,2024-06-03 00:00:00+00:00,165.4403076171875,165.4661102294922,164.48934936523438,164.92074584960938,5181184.0,0.0011049375842799108,-6.807966430422309,0.010075951160462893,0.010025527194627471,-7.722077922076016,-9.199184949545415,-7.4968630878818345,0.0008139079271185878,-7.113663310007265,-7.099142402698801,0.0014276425155040412,-6.551730785687737,-6.545520998093736,High Risk
SOL-USD,2024-06-04 00:00:00+00:00,170.8795623779297,171.8168182373047,170.64830017089844,171.8168182373047,52766080.0,0.0004568316356858056,-7.691195647016538,0.04181446277222034,0.04096386871696685,-6.807966430422309,-7.722077922076016,-9.199184949545415,0.0007019817633488597,-7.2616031324114285,-7.113663310007265,0.001432597102699836,-6.548266326192896,-6.551730785687737,High Risk
SOL-USD,2024-06-05 00:00:00+00:00,173.34918212890625,173.599853515625,173.18836975097656,173.48486328125,0.0,0.000327800900842759,-8.023104143510794,0.009708275715136772,0.009661453206431064,-7.691195647016538,-6.807966430422309,-7.722077922076016,0.0005797811324549589,-7.452859883477472,-7.2616031324114285,0.0013106493221067268,-6.6372325988404315,-6.548266326192896,High Risk
SOL-USD,2024-06-06 00:00:00+00:00,170.52418518066406,170.65786743164062,170.03652954101562,170.03652954101562,92853632.0,0.0004823338239693495,-7.636874102787838,-0.01987685654536908,-0.020077058625288923,-8.023104143510794,-7.691195647016538,-6.807966430422309,0.0004958267224889572,-7.609284042096862,-7.452859883477472,0.0012552441997536732,-6.680425143849879,-6.6372325988404315,High Risk
SOL-USD,2024-06-07 00:00:00+00:00,162.96405029296875,163.05381774902344,162.50088500976562,162.50088500976562,0.0,0.0015494916957154207,-6.4698283400826035,-0.04431779777904887,-0.045329845651064994,-7.636874102787838,-8.023104143510794,-7.691195647016538,0.0006379223831206082,-7.357293938571013,-7.609284042096862,0.0012355134153621858,-6.696268674349165,-6.680425143849879,High Risk
SOL-USD,2024-06-08 00:00:00+00:00,158.4710693359375,158.60177612304688,157.95326232910156,158.00901794433594,0.0,0.00035138675919250685,-7.953623063079112,-0.027642108319346992,-0.028031340973624155,-6.4698283400826035,-7.636874102787838,-8.023104143510794,0.0006736745219170786,-7.3027634688557574,-7.357293938571013,0.0011839355515380983,-6.738911176824395,-6.696268674349165,High Risk
SOL-USD,2024-06-09 00:00:00+00:00,161.91070556640625,162.0698699951172,161.84872436523438,162.0694580078125,0.0,0.00043471823253633514,-7.740812478046399,0.02569752104216594,0.02537288948338804,-7.953623063079112,-6.4698283400826035,-7.636874102787838,0.0006725000903174417,-7.30450831218726,-7.3027634688557574,0.0011214320422294323,-6.7931488012662635,-6.738911176824395,High Risk
SOL-USD,2024-06-10 00:00:00+00:00,159.1752471923828,159.33258056640625,158.43499755859375,158.92868041992188,42348288.0,0.0009096968076373033,-7.002399192390186,-0.019379207078851546,-0.019569445705548673,-7.740812478046399,-7.953623063079112,-6.4698283400826035,0.0006446085507970693,-7.3468673233946715,-7.30450831218726,0.0011394830896011743,-6.777180549580688,-6.7931488012662635,High Risk
