time,HAR_Forecast
2022-10-14,0.0018968972862739924
2022-10-15,0.0010918539899509876
2022-10-16,0.0007967654738169616
2022-10-17,0.0008418220516411851
2022-10-18,0.0008539206955240113
2022-10-19,0.0009533680371926012
2022-10-20,0.0005739938788900626
2022-10-21,0.0005704639920510102
2022-10-22,0.0006292489855969013
2022-10-23,0.00038074558258225315
2022-10-24,0.0005969149378632931
2022-10-25,0.0009578278469937007
2022-10-26,0.002032048419280853
2022-10-27,0.001964341429702814
2022-10-28,0.001889043307084456
2022-10-29,0.0018837526134333244
2022-10-30,0.002159513768395216
2022-10-31,0.0016354833483893695
2022-11-01,0.0017929268121191938
2022-11-02,0.0014769009344154976
2022-11-03,0.002086192869485677
2022-11-04,0.0013297686203627126
2022-11-05,0.001599657249038723
2022-11-06,0.0009973545330828608
