time,Predicted Volatility
2016-12-30,0.017577050652785493
2016-12-31,0.0043747046725243766
2017-01-01,0.021845588302619977
2017-01-02,0.011625534704456176
2017-01-03,0.01750657408640697
2017-01-04,0.017395582773599295
2017-01-05,0.04237189456779292
2017-01-06,0.025425945891291928
2017-01-07,0.01877836251998591
2017-01-08,0.01495219322917163
2017-01-09,0.01734676443828783
2017-01-10,0.016325546391806334
2017-01-11,0.02627683929836824
2017-01-12,0.019357442526582995
2017-01-13,0.022112161838984873
2017-01-14,0.01921854511054515
2017-01-15,0.024938836888940902
2017-01-16,0.014947746591453185
2017-01-17,0.014301064094870884
2017-01-18,0.016602311993011463
2017-01-19,0.01048603287440235
2017-01-20,0.014178842983889965
2017-01-21,0.0082162200550689
2017-01-22,0.012547202715432472
2017-01-23,0.0072362192421498855
